Rank,Lifter,Lifters Weight,Class,Squat,Bench,Deadlift,Total,Year
1,Kris Hunt,198.2,198,622.8,341.7,650.3,1614.9,2014
2,Nick Gagnon,195.5,198,562.1,380.3,606.2,1548.7,2014
3,Ryan Doris,194.2,198,573.2,369.2,606.2,1548.7,2014
4,Ross Leppala,192.9,198,573.2,391.3,567.7,1532.2,2014
5,Phillip Spencer,198.2,198,562.1,314.1,617.3,1493.6,2014
6,Scott Schwartz,195.1,198,529.1,341.7,622.8,1493.6,2014
7,Carlos Arbalez,197.1,198,556.6,347.2,578.7,1482.6,2014
8,Justin Martin,193.5,198,523.6,330.7,617.3,1471.6,2014
9,Lloyd Summers,198.4,198,500,399.9,570.1,1470,2014
10,Derek Charlebois,198.2,198,501.5,363.7,578.7,1444,2014
1,Shane Brady,197.9,205,578.7,402.3,622.8,1603.8,2015
2,Rolan Coltherst,197.3,205,556.6,374.8,628.3,1559.7,2015
3,Anthony Loreto,197.1,205,540.1,341.7,672.4,1554.2,2015
4,Antwan Byrd,190.2,205,573.2,336.2,617.3,1526.7,2015
5,Kyle Mangrum,197.7,205,551.1,341.7,628.3,1521.2,2015
6,Seab Stangl,194,205,578.7,352.7,584.2,1515.6,2015
7,Jeff Justo,197.8,205,584.2,319.6,606.2,1510.1,2015
8,Tony Schwebach,197.1,205,512.5,347.2,622.8,1482.6,2015
9,Michael Parrott,191.5,205,529.1,330.7,606.2,1466,2015
10,Akex Hanson,193.8,205,518.1,308.6,633.8,1460.5,2015
1,Derrington Wright,195.5,205,573.2,436.5,711,1720.7,2016
2,Jonathan Cayco,197.9,205,578.7,418.8,661.4,1658.9,2016
3,Daniel Libre,197.5,205,578.7,358.2,639.3,1576.3,2016
4,Nick Gagnon,198.2,205,573.2,396.8,595.2,1565.2,2016
5,Stephen Peszynski,192.2,205,606.2,308.6,644.8,1559.7,2016
6,Michael Lear,187.4,205,534.6,319.6,688.9,1543.2,2016
7,Rolando Verduszco,195.1,205,562.1,385.8,573.2,1521.2,2016
8,Antwan Byrd,194.4,205,562.1,352.7,600.7,1515.6,2016
9,Michael Parrott,189.6,205,540.1,336.2,600.7,1477.1,2016
10,Saul Vasquez,198.4,205,534.6,341.7,600.7,1477.1,2016
1,Sean Stangl,196.2,205,633.8,413.3,639.3,1686.5,2017
2,Daniel Libre,197.9,205,600.7,352.7,655.8,1609.3,2017
3,Stephen Peszynski,193,205,617.3,325.1,644.8,1587.3,2017
4,Nick Gagnon,197.6,205,562.1,396.8,617.3,1576.3,2017
5,Samuel Jansen,198.4,205,584.2,347.2,639.3,1570.8,2017
6,Aaron Boyd,196,205,562.1,330.7,666.9,1559.7,2017
7,Christopher Austin,196.2,205,529.1,407.8,617.3,1554.2,2017
8,Brian Minor,193.1,205,534.6,385.8,628.3,1548.7,2017
9,Edward Alicdan,192.2,205,534.6,380.3,633.8,1548.7,2017
10,Tim Wermeling,197.7,205,573.2,352.7,617.3,1543.2,2017
1,Daniel Libre,197.1,205,650.3,363.7,744,1758.2,2018
2,Dominique Stephens,194,205,584.2,446.4,699.9,1730.6,2018
3,Ryan Baylark,196.1,205,584.2,451.9,644.8,1681,2018
4,Mitchell Deskis,183.1,205,611.7,385.8,672.4,1670,2018
5,Jorge Rosado,198.4,205,600.7,363.7,705.4,1670,2018
6,Dan Holly,197.9,205,628.3,336.2,655.8,1620.4,2018
7,Rolando Verduzco,196.6,205,584.2,391.3,633.8,1609.3,2018
8,Stepohen Peszynski,194.6,205,606.2,352.7,644.8,1603.8,2018
9,Ross Leppala,184.7,205,562.1,418.8,611.7,1592.8,2018
10,Kevin Woods,194.9,205,573.2,396.8,617.3,1587.3,2018
1,Dominique Stephens,198.3,205,617.3,451.9,711,1780.2,2019
2,Lamar Rhodes,194.2,205,611.7,402.3,694.4,1708.5,2019
3,Lamarvin Hunley,197.9,205,644.8,341.7,677.9,1664.5,2019
4,Lam Viet Tan Ho,196.4,205,578.7,418.8,666.9,1664.5,2019
5,Jimmy Villanueva,196.6,205,567.7,380.3,699.9,1647.9,2019
6,Daniel Howell,196,205,600.7,314.1,716.5,1631.4,2019
7,Bnejamin Collins,190.9,205,540.1,407.8,666.9,1614.9,2019
8,Marc Thomas,195.7,205,578.7,352.7,661.4,1592.8,2019
9,Joshua Smith,194.1,205,584.2,369.2,622.8,1576.3,2019
10,Joshua Villa,187.1,205,595.2,363.7,611.7,1570.8,2019
1,Rob Ali,197.9,205,677.9,380.3,672.4,1730.6,2020
2,Ryan Baylark,190.7,205,567.7,440.9,628.3,1636.9,2020
3,Nico Bougeoid,198.3,205,595.2,352.7,611.7,1559.7,2020
4,Johnathan Tentoni,198.2,205,534.6,369.2,633.8,1537.7,2020
5,Joseph Milano,193.1,205,540.1,308.6,650.3,1499.1,2020
6,Michael Weshnak,194.5,205,556.6,374.8,567.7,1499.1,2020
7,Michael Branda,194.9,205,512.5,336.2,617.3,1466,2020
8,Jacob Fery,196,205,501.5,341.7,611.7,1455,2020
9,Ryan Kuruc,197.5,205,529.1,358.2,567.7,1455,2020
10,Kai Rossbach,186.3,205,529.1,330.7,584.2,1444,2020
1,Marcus Adodo,196.8,205,688.9,396.8,716.5,1802.2,2021
2,Everett Clark,198.2,205,622.8,380.3,699.9,1703,2021
3,Tadriaun Logan,197.5,205,611.7,380.3,705.4,1697.5,2021
4,Eric Gardner,198.4,205,644.8,374.8,639.3,1658.9,2021
5,Peter Pires,196.8,205,617.3,391.3,611.7,1620.4,2021
6,Mason Lopez,197.7,205,606.2,363.7,639.3,1609.3,2021
7,Austin Miller,198.4,205,551.1,407.8,650.3,1609.3,2021
8,Kyle Phipps,196.2,205,562.1,341.7,688.9,1592.8,2021
9,Shakeel Holman,196.4,205,573.2,391.3,617.3,1581.8,2021
10,Daniel Filpek,197.3,205,540.1,363.7,644.8,1548.7,2021
1,Russel Orhii,198.1,198,749.5,429.9,771.6,1951.1,2022
2,Brandon Pitre,196.5,198,672.4,468.4,804.7,1945.5,2022
3,Jamarr Royster,196.2,198,733,418.8,683.4,1835.3,2022
4,Dominique Fuqua,197.9,198,661.4,462.9,705.4,1829.8,2022
5,Sean Noriega,193.1,198,606.2,462.9,749.5,1818.8,2022
6,Connor Borkert,197.5,198,650.3,457.4,705.4,1813.3,2022
7,Daniel Howell,197.3,198,628.3,363.7,778.2,1770.3,2022
8,Andre Easter,197.2,198,633.8,435.4,694.4,1763.7,2022
9,Nico Chiodo,196.7,198,650.3,424.4,688.9,1763.7,2022
10,Premar Namnama,189.6,198,644.8,440.9,677.9,1763.7,2022
1,Brandon Pitre,197.7,198,683.4,451.9,821.2,1956.6,2023
2,Dominique Fuqua,196.6,198,694.4,462.9,738.5,1895.9,2023
3,Kyle De Leon,196.2,198,650.3,487.2,738.5,1876.1,2023
4,Demetrius Smith,198.1,198,639.3,429.9,804.7,1873.9,2023
5,Benjamin Poore,196.4,198,672.4,418.8,760.6,1851.8,2023
6,Sean Noriega,188.9,198,622.8,474,711,1807.8,2023
7,Danial Howell,196.9,198,683.4,363.7,793.6,1840.8,2023
8,Andre Easter II,197.9,198,672.4,457.4,705.4,1835.3,2023
9,Premar Namnama,195.5,198,655.8,462.9,694.4,1813.3,2023
10,Tracy Gilliard,194.2,198,622.8,418.8,760.6,1802.2,2023